GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203952-1626181-1630558-1631107-1631170-,A. Wiggins - N. Powell - D. Mitchell - N. Jović - J. Jaquez Jr.,1610612748,MIA,4,2,2,0.5,6.0,131.6,129.4,101.4,106.3,30.1,23.2,1.0,2.0,18.2,0.167,0.364,0.294,0.118,0.556,0.747,128.5,126.69,105.57,17,0.746,11,20,102,78,35,31,68,42,1,21,51,63,98,97,75,49,28,30,32,18755
Lineups,-1629639-1630696-1631170-1641796-1642276-,T. Herro - D. Smith - J. Jaquez Jr. - P. Larsson - K. Ware,1610612748,MIA,1,1,0,1.0,6.0,141.7,107.7,83.3,83.3,58.4,24.4,0.6,3.0,17.6,0.2,0.667,0.455,0.077,0.667,0.709,91.6,104.65,87.21,13,0.673,55,39,1,1,37,58,41,40,64,11,58,55,57,68,60,29,33,81,37,17200
Lineups,-203952-1628389-1630558-1631107-1631170-,A. Wiggins - B. Adebayo - D. Mitchell - N. Jović - J. Jaquez Jr.,1610612748,MIA,2,1,1,0.5,5.0,114.2,111.1,75.8,75.0,38.4,36.1,0.667,2.0,18.2,0.0,0.375,0.25,0.111,0.667,0.644,102.8,104.64,87.2,9,0.583,32,39,62,78,42,53,32,32,55,21,51,69,97,100,71,29,41,82,49,14450
Lineups,-203952-1630558-1631170-1631323-1642276-,A. Wiggins - D. Mitchell - J. Jaquez Jr. - S. Fontecchio - K. Ware,1610612748,MIA,3,2,1,0.667,5.0,110.0,110.0,56.3,55.6,53.7,54.4,0.8,4.0,25.0,0.4,0.714,0.583,0.1,0.55,0.55,90.9,91.51,76.25,10,0.939,20,20,62,67,40,54,25,22,39,6,21,27,50,34,65,50,65,113,20,14950
Lineups,-1626181-1628389-1630696-1631170-1641796-,N. Powell - B. Adebayo - D. Smith - J. Jaquez Jr. - P. Larsson,1610612748,MIA,2,2,0,1.0,5.0,133.9,125.0,120.0,109.1,13.9,15.9,1.0,2.5,29.4,0.0,0.5,0.25,0.167,0.786,0.815,94.5,102.54,85.45,12,0.694,32,20,1,1,38,33,70,46,1,16,14,69,81,100,84,19,18,91,36,16150
Lineups,-1626181-1630558-1631323-1641796-1642276-,N. Powell - D. Mitchell - S. Fontecchio - P. Larsson - K. Ware,1610612748,MIA,2,2,0,1.0,5.0,67.0,64.3,125.4,123.1,-58.4,-58.8,0.5,1.0,11.8,0.143,0.8,0.417,0.143,0.364,0.393,120.2,123.82,103.18,14,0.229,32,20,1,1,39,98,81,97,71,40,86,65,38,76,81,90,95,36,91,15700
Lineups,-1626181-1630696-1631170-1641796-1642276-,N. Powell - D. Smith - J. Jaquez Jr. - P. Larsson - K. Ware,1610612748,MIA,3,3,0,1.0,5.0,70.3,68.8,139.7,133.3,-69.3,-64.6,0.5,2.0,10.0,0.2,0.8,0.4,0.063,0.286,0.331,144.8,149.8,124.83,16,0.19,20,9,1,1,41,91,87,101,71,21,90,55,38,80,56,97,101,12,95,14900
Lineups,-203952-1628389-1630558-1631107-1641796-,A. Wiggins - B. Adebayo - D. Mitchell - N. Jović - P. Larsson,1610612748,MIA,2,1,1,0.5,4.0,133.1,112.5,135.1,133.3,-2.0,-20.8,0.5,0.0,11.1,0.0,1.0,0.5,0.0,0.5,0.666,101.4,110.27,91.89,8,0.444,32,39,62,78,49,51,87,82,71,62,87,69,1,50,1,60,40,63,69,11100
Lineups,-203952-1630558-1631107-1631170-1631323-,A. Wiggins - D. Mitchell - N. Jović - J. Jaquez Jr. - S. Fontecchio,1610612748,MIA,3,1,2,0.333,4.0,44.4,44.4,90.0,90.0,-45.6,-45.6,1.0,2.0,18.2,0.0,0.429,0.231,0.111,0.25,0.25,112.1,112.13,93.44,9,0.276,20,39,102,92,44,104,50,90,1,21,51,69,96,104,71,98,104,56,86,12200
Lineups,-203952-1630696-1631170-1631323-1642352-,A. Wiggins - D. Smith - J. Jaquez Jr. - S. Fontecchio - K. Johnson,1610612748,MIA,2,1,1,0.5,4.0,55.6,50.0,107.3,100.0,-51.7,-50.0,1.0,2.0,12.5,0.4,0.714,0.529,0.1,0.208,0.208,114.2,124.68,103.9,10,-0.043,32,39,62,78,46,101,55,91,1,21,82,27,50,46,65,101,106,32,105,11550
